accession	target_id	is_query_self	full_evalue	full_score	full_bias	domain_rows	reported_domain_count	best_domain_evalue	best_domain_score	query_length	target_length	query_union_aligned_residues	target_union_aligned_residues	query_coverage	target_coverage	reviewed	entry_name	protein_names	gene_names	organism	organism_id	metadata_length
A5IJC7	tr|A5IJC7|A5IJC7_THEP1	no	3.5e-48	162.2	1.3	1	1	1.5e-47	160.2	251	263	244	258	0.9721	0.9810	unreviewed	A5IJC7_THEP1	Adenosyl-chloride synthase	Tpet_0271	Thermotoga petrophila (strain ATCC BAA-488 / DSM 13995 / JCM 10881 / RKU-1)	390874	263
D2C6G6	tr|D2C6G6|D2C6G6_THEP2	no	3.5e-48	162.2	1.3	1	1	1.5e-47	160.2	251	263	244	258	0.9721	0.9810	unreviewed	D2C6G6_THEP2	Adenosyl-chloride synthase	Tnap_0456	Thermotoga petrophila (strain ATCC BAA-489 / DSM 13996 / JCM 10882 / RKU-10) (Thermotoga naphthophila)	590168	263
Q9WZC8	tr|Q9WZC8|Q9WZC8_THEMA	no	3.5e-48	162.2	1.3	1	1	1.5e-47	160.2	251	263	244	258	0.9721	0.9810	unreviewed	Q9WZC8_THEMA	Adenosyl-chloride synthase	TM_0660	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	243274	263
A0ABR9VIJ7	tr|A0ABR9VIJ7|A0ABR9VIJ7_9CYAN	no	3.6e-48	162.2	0.0	1	1	4.2e-48	162.0	251	265	239	246	0.9522	0.9283	unreviewed	A0ABR9VIJ7_9CYAN	SAM-dependent chlorinase/fluorinase	IQ227_16040	Sphaerospermopsis aphanizomenoides LEGE 00250	2777972	265
A0ABT4ZU09	tr|A0ABT4ZU09|A0ABT4ZU09_9CYAN	no	3.6e-48	162.2	0.0	1	1	4.2e-48	162.0	251	265	239	246	0.9522	0.9283	unreviewed	A0ABT4ZU09_9CYAN	SAM-dependent chlorinase/fluorinase	PN497_16290	Sphaerospermopsis kisseleviana CS-549	3021783	265
A0A3S0ZP91	tr|A0A3S0ZP91|A0A3S0ZP91_CHLFR	no	3.9e-48	162.1	0.0	1	1	5e-48	161.8	251	265	244	251	0.9721	0.9472	unreviewed	A0A3S0ZP91_CHLFR	SAM-dependent chlorinase/fluorinase	PCC6912_52670	Chlorogloeopsis fritschii PCC 6912	211165	265
A0LI44	tr|A0LI44|A0LI44_SYNFM	no	4.1e-48	162.0	0.0	1	1	5e-48	161.7	251	278	248	255	0.9880	0.9173	unreviewed	A0LI44_SYNFM	SAM-dependent chlorinase/fluorinase	Sfum_1405	Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB)	335543	278
A0ABX7PVM7	tr|A0ABX7PVM7|A0ABX7PVM7_9BACT	no	4.2e-48	162.0	0.0	1	1	6.8e-48	161.3	251	322	191	195	0.7610	0.6056	unreviewed	A0ABX7PVM7_9BACT	SAM-dependent chlorinase/fluorinase	EM20IM_01460	Candidatus Methylacidiphilum infernorum	511746	322
A0ABR9UVU5	tr|A0ABR9UVU5|A0ABR9UVU5_9CHRO	no	4.2e-48	162.0	0.0	1	1	5.9e-48	161.5	251	266	238	245	0.9482	0.9211	unreviewed	A0ABR9UVU5_9CHRO	SAM-dependent chlorinase/fluorinase	IQ230_19085	Gloeocapsopsis crepidinum LEGE 06123	588587	266
G6FUY9	tr|G6FUY9|G6FUY9_9CYAN	no	4.7e-48	161.8	0.0	1	1	5.8e-48	161.5	251	269	240	247	0.9562	0.9182	unreviewed	G6FUY9_9CYAN	SAM-dependent chlorinase/fluorinase	FJSC11DRAFT_2686	Fischerella thermalis JSC-11	741277	269
B3QT68	tr|B3QT68|B3QT68_CHLT3	no	4.7e-48	161.8	0.0	1	1	7.9e-48	161.1	251	262	247	257	0.9841	0.9809	unreviewed	B3QT68_CHLT3	SAM-dependent chlorinase/fluorinase	Ctha_1710	Chloroherpeton thalassium (strain ATCC 35110 / GB-78)	517418	262
A0A480A554	tr|A0A480A554|A0A480A554_9CYAN	no	5.7e-48	161.5	0.0	1	1	6.8e-48	161.3	251	265	239	246	0.9522	0.9283	unreviewed	A0A480A554_9CYAN	SAM-dependent chlorinase/fluorinase	SR1949_50900	Sphaerospermopsis reniformis	531300	265
A0ABQ6FYE4	tr|A0ABQ6FYE4|A0ABQ6FYE4_9CHLR	no	5.9e-48	161.5	0.0	1	1	7.7e-48	161.1	251	273	185	187	0.7371	0.6850	unreviewed	A0ABQ6FYE4_9CHLR	Adenosyl-chloride synthase	KDH_56710	Dictyobacter halimunensis	3026934	273
A0ABU9EMS5	tr|A0ABU9EMS5|A0ABU9EMS5_LIMFS	no	5.9e-48	161.5	0.0	1	1	8e-48	161.1	251	265	241	252	0.9602	0.9509	unreviewed	A0ABU9EMS5_LIMFS	SAM-dependent chlorinase/fluorinase	AAEJ74_16715	Limnospira fusiformis PMC 851.14	2219512	265
A0ABT7AW20	tr|A0ABT7AW20|A0ABT7AW20_9CYAN	no	6e-48	161.5	0.0	1	1	7.2e-48	161.2	251	267	248	255	0.9880	0.9551	unreviewed	A0ABT7AW20_9CYAN	SAM-dependent chlorinase/fluorinase	PMG71_16920	Roseofilum acuticapitatum BLCC-M154	3022444	267
A0A6H1TTQ1	tr|A0A6H1TTQ1|A0A6H1TTQ1_9CYAN	no	6e-48	161.5	0.0	1	1	7.6e-48	161.1	251	266	245	253	0.9761	0.9511	unreviewed	A0A6H1TTQ1_9CYAN	SAM-dependent chlorinase/fluorinase	HCG48_00950	Oxynema aestuarii AP17	2064643	266
A0A284VRC6	tr|A0A284VRC6|A0A284VRC6_9EURY	no	6.1e-48	161.5	0.5	1	1	7.1e-48	161.2	251	262	246	254	0.9801	0.9695	unreviewed	A0A284VRC6_9EURY	Chlorinase	MNV_50099	Candidatus Methanoperedens nitratireducens	1392998	262
B4S452	tr|B4S452|B4S452_PROA2	no	6.1e-48	161.5	0.0	1	1	2.7e-47	159.4	251	277	246	259	0.9801	0.9350	unreviewed	B4S452_PROA2	SAM-dependent chlorinase/fluorinase	Paes_1832	Prosthecochloris aestuarii (strain DSM 271 / SK 413)	290512	277
A0A1I4SMP3	tr|A0A1I4SMP3|A0A1I4SMP3_9BACT	no	6.2e-48	161.4	0.0	1	1	8.5e-48	161.0	251	261	243	251	0.9681	0.9617	unreviewed	A0A1I4SMP3_9BACT	S-adenosyl-l-methionine hydroxide adenosyltransferase	SAMN05660836_01054	Thermodesulforhabdus norvegica	39841	261
A8F7Y5	tr|A8F7Y5|A8F7Y5_PSELT	no	6.3e-48	161.4	1.7	1	1	1e-47	160.8	251	261	245	254	0.9761	0.9732	unreviewed	A8F7Y5_PSELT	Adenosyl-chloride synthase	Tlet_1715	Pseudothermotoga lettingae (strain ATCC BAA-301 / DSM 14385 / NBRC 107922 / TMO) (Thermotoga lettingae)	416591	261
A0A7S8E5V6	tr|A0A7S8E5V6|A0A7S8E5V6_9CHLR	no	6.7e-48	161.3	0.0	1	1	3.6e-46	155.7	251	278	184	184	0.7331	0.6619	unreviewed	A0A7S8E5V6_9CHLR	SAM-dependent chlorinase/fluorinase	G4Y79_14720	Phototrophicus methaneseepsis	2710758	278
A0A347ZNR7	tr|A0A347ZNR7|A0A347ZNR7_9CHLR	no	6.8e-48	161.3	0.0	1	1	9.3e-48	160.9	251	262	245	255	0.9761	0.9733	unreviewed	A0A347ZNR7_9CHLR	S-adenosyl-l-methionine hydroxide adenosyltransferase	DFR64_1921	Pelolinea submarina	913107	262
A0A928Z7R2	tr|A0A928Z7R2|A0A928Z7R2_9CYAN	no	7.1e-48	161.2	0.0	1	1	8.1e-48	161.1	251	262	240	247	0.9562	0.9427	unreviewed	A0A928Z7R2_9CYAN	SAM-dependent chlorinase/fluorinase	IQ235_12970	Zarconia navalis LEGE 11467	1828826	262
A0A1D8CZG7	tr|A0A1D8CZG7|A0A1D8CZG7_CHLLM	no	7.7e-48	161.1	0.0	1	1	9.2e-48	160.9	251	273	244	254	0.9721	0.9304	unreviewed	A0A1D8CZG7_CHLLM	SAM-dependent chlorinase/fluorinase	BIU88_02940	Chlorobaculum limnaeum	274537	273
A0ABY5AWG9	tr|A0ABY5AWG9|A0ABY5AWG9_9CYAN	no	7.7e-48	161.1	0.0	1	1	9e-48	160.9	251	264	244	253	0.9721	0.9583	unreviewed	A0ABY5AWG9_9CYAN	SAM-dependent chlorinase/fluorinase	NEA10_07535	Phormidium yuhuli AB48	2940671	264
A0ABN6ZU97	tr|A0ABN6ZU97|A0ABN6ZU97_9CREN	no	7.7e-48	161.1	0.1	1	1	1.2e-47	160.5	251	282	244	259	0.9721	0.9184	unreviewed	A0ABN6ZU97_9CREN	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	PABY_13530	Pyrodictium abyssi	54256	282
A0A2N6K7G7	tr|A0A2N6K7G7|A0A2N6K7G7_FISMU	no	7.8e-48	161.1	0.0	1	1	9.4e-48	160.8	251	270	246	253	0.9801	0.9370	unreviewed	A0A2N6K7G7_FISMU	SAM-dependent chlorinase/fluorinase	CEN44_03840	Fischerella muscicola CCMEE 5323	2019572	270
A0A0P6WWP0	tr|A0A0P6WWP0|A0A0P6WWP0_9CHLR	no	7.8e-48	161.1	0.0	1	1	1.1e-47	160.6	251	263	185	189	0.7371	0.7186	unreviewed	A0A0P6WWP0_9CHLR	S-adenosyl-l-methionine hydroxide adenosyltransferase	ADM99_15545	Leptolinea tardivitalis	229920	263
E0UAC0	tr|E0UAC0|E0UAC0_GLOV7	no	8.6e-48	161.0	0.0	1	1	1e-47	160.7	251	261	246	253	0.9801	0.9693	unreviewed	E0UAC0_GLOV7	SAM-dependent chlorinase/fluorinase	Cyan7822_5553	Gloeothece verrucosa (strain PCC 7822) (Cyanothece sp. (strain PCC 7822))	497965	261
A0A8J7HU23	tr|A0A8J7HU23|A0A8J7HU23_9NOST	no	8.6e-48	161.0	0.0	1	1	1.1e-47	160.6	251	280	238	245	0.9482	0.8750	unreviewed	A0A8J7HU23_9NOST	SAM-dependent chlorinase/fluorinase	I8748_27915	Amazonocrinis nigriterrae CENA67	2794033	280
Q980N6	tr|Q980N6|Q980N6_SACS2	no	8.9e-48	160.9	4.7	1	1	1.4e-47	160.2	251	281	244	257	0.9721	0.9146	unreviewed	Q980N6_SACS2	Uncharacterized protein	SSO0254	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	273057	281
A0A211YP40	tr|A0A211YP40|A0A211YP40_9CREN	no	1e-47	160.7	0.0	1	1	1.6e-47	160.0	251	310	244	258	0.9721	0.8323	unreviewed	A0A211YP40_9CREN	SAM-dependent chlorinase/fluorinase	Pdsh_06295	Pyrodictium delaneyi	1273541	310
B5W1M4	tr|B5W1M4|B5W1M4_LIMMA	no	1.1e-47	160.7	0.0	1	1	1.6e-47	160.1	251	265	241	252	0.9602	0.9509	unreviewed	B5W1M4_LIMMA	SAM-dependent chlorinase/fluorinase	AmaxDRAFT_2670	Limnospira maxima CS-328	513049	265
A0A1M4THF8	tr|A0A1M4THF8|A0A1M4THF8_MARH1	no	1.1e-47	160.6	4.8	1	1	3.6e-47	159.0	251	267	239	253	0.9522	0.9476	unreviewed	A0A1M4THF8_MARH1	Adenosyl-chloride synthase	SAMN02745164_00440	Marinitoga hydrogenitolerans (strain DSM 16785 / JCM 12826 / AT1271)	1122195	267
A0AAI8CKD0	tr|A0AAI8CKD0|A0AAI8CKD0_FERIS	no	1.2e-47	160.5	0.2	1	1	1.4e-47	160.3	251	252	245	248	0.9761	0.9841	unreviewed	A0AAI8CKD0_FERIS	SAM-dependent chlorinase/fluorinase	NA23_01885	Fervidobacterium islandicum	2423	252
A0ABX5QPW5	tr|A0ABX5QPW5|A0ABX5QPW5_9BACT	no	1.2e-47	160.5	0.2	1	1	1.4e-47	160.3	251	252	245	248	0.9761	0.9841	unreviewed	A0ABX5QPW5_9BACT	Adenosyl-chloride synthase	CBS1_01170	Fervidobacterium changbaicum	310769	252
A0A8J7DW38	tr|A0A8J7DW38|A0A8J7DW38_9CYAN	no	1.2e-47	160.5	0.0	1	1	1.5e-47	160.2	251	263	237	244	0.9442	0.9278	unreviewed	A0A8J7DW38_9CYAN	SAM-dependent chlorinase/fluorinase	IQ249_09415	Lusitaniella coriacea LEGE 07157	945747	263
A0ABR8G973	tr|A0ABR8G973|A0ABR8G973_MICVR	no	1.2e-47	160.5	0.0	1	1	1.5e-47	160.1	251	265	245	252	0.9761	0.9509	unreviewed	A0ABR8G973_MICVR	SAM-dependent chlorinase/fluorinase	H6G40_05150	Microcystis viridis FACHB-1342	2692900	265
A0ABT6K1E3	tr|A0ABT6K1E3|A0ABT6K1E3_9CYAN	no	1.2e-47	160.5	0.0	1	1	1.4e-47	160.2	251	267	237	244	0.9442	0.9139	unreviewed	A0ABT6K1E3_9CYAN	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	NWP19_05165	Umezakia ovalisporum FSS-43	2740520	267
A0A0X1KRH6	tr|A0A0X1KRH6|A0A0X1KRH6_9THEM	no	1.3e-47	160.4	0.0	1	1	1.8e-47	159.9	251	261	244	253	0.9721	0.9693	unreviewed	A0A0X1KRH6_9THEM	S-adenosyl-l-methionine hydroxide adenosyltransferase	AJ81_06600	Pseudothermotoga hypogea DSM 11164 = NBRC 106472	1123384	261
A0A1J0AC08	tr|A0A1J0AC08|A0A1J0AC08_9CYAN	no	1.3e-47	160.4	0.0	1	1	1.7e-47	160.0	251	262	244	250	0.9721	0.9542	unreviewed	A0A1J0AC08_9CYAN	SAM-dependent chlorinase/fluorinase	GlitD10_1136	Gloeomargarita lithophora Alchichica-D10	1188229	262
E0SR99	tr|E0SR99|E0SR99_IGNAA	no	1.3e-47	160.4	0.2	1	1	1.8e-47	159.9	251	272	182	186	0.7251	0.6838	unreviewed	E0SR99_IGNAA	SAM-dependent chlorinase/fluorinase	Igag_1551	Ignisphaera aggregans (strain DSM 17230 / JCM 13409 / AQ1.S1)	583356	272
A0ABU2D415	tr|A0ABU2D415|A0ABU2D415_9EURY	no	1.4e-47	160.3	0.3	1	1	1.7e-47	160.0	251	262	246	256	0.9801	0.9771	unreviewed	A0ABU2D415_9EURY	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	RG963_12995	Methanosarcina baikalica	3073890	262
A0A8T7LZU2	tr|A0A8T7LZU2|A0A8T7LZU2_9CHLR	no	1.4e-47	160.3	0.0	1	1	1.7e-47	160.0	251	296	190	197	0.7570	0.6655	unreviewed	A0A8T7LZU2_9CHLR	SAM-dependent chlorinase/fluorinase	OZ401_001716	Candidatus Chlorohelix allophototropha	3003348	296
A0A1U7GST8	tr|A0A1U7GST8|A0A1U7GST8_9CYAN	no	1.4e-47	160.3	0.0	1	1	1.8e-47	160.0	251	269	240	247	0.9562	0.9182	unreviewed	A0A1U7GST8_9CYAN	SAM-dependent chlorinase/fluorinase	NIES592_23625	Fischerella major NIES-592	210994	269
I2F2H6	tr|I2F2H6|I2F2H6_9BACT	no	1.6e-47	160.1	0.3	1	1	5.4e-47	158.4	251	260	245	255	0.9761	0.9808	unreviewed	I2F2H6_9BACT	Adenosyl-chloride synthase	Theba_0401	Mesotoga prima MesG1.Ag.4.2	660470	260
F8AIC6	tr|F8AIC6|F8AIC6_PYRYC	no	1.7e-47	160.0	0.0	1	1	1.9e-47	159.9	251	256	246	252	0.9801	0.9844	unreviewed	F8AIC6_PYRYC	Hydroxide adenosyltransferase	PYCH_18740	Pyrococcus yayanosii (strain CH1 / JCM 16557)	529709	256
A0A097QWP5	tr|A0A097QWP5|A0A097QWP5_9EURY	no	1.7e-47	160.0	0.0	1	1	1.9e-47	159.8	251	256	246	252	0.9801	0.9844	unreviewed	A0A097QWP5_9EURY	Hydroxide adenosyltransferase	TEU_11530	Thermococcus eurythermalis	1505907	256
A0A650CDS8	tr|A0A650CDS8|A0A650CDS8_SULOH	no	1.7e-47	160.0	6.1	1	1	2e-47	159.8	251	275	244	256	0.9721	0.9309	unreviewed	A0A650CDS8_SULOH	S-adenosyl-l-methionine hydroxide adenosyltransferase	D1869_01045	Sulfurisphaera ohwakuensis	69656	275
Q3Z6A3	tr|Q3Z6A3|Q3Z6A3_DEHM1	no	1.9e-47	159.9	0.0	1	1	6.4e-44	148.3	251	282	185	206	0.7371	0.7305	unreviewed	Q3Z6A3_DEHM1	S-adenosyl-l-methionine hydroxide adenosyltransferase	DET1548	Dehalococcoides mccartyi (strain ATCC BAA-2266 / KCTC 15142 / 195) (Dehalococcoides ethenogenes (strain 195))	243164	282
A0A2T4TX16	tr|A0A2T4TX16|A0A2T4TX16_9BACT	no	2.1e-47	159.7	0.0	1	1	3.8e-47	158.9	251	275	228	240	0.9084	0.8727	unreviewed	A0A2T4TX16_9BACT	SAM-dependent chlorinase/fluorinase	CLG94_07715	Candidatus Methylomirabilis limnetica	2033718	275
A0A927IGI4	tr|A0A927IGI4|A0A927IGI4_9BACT	no	2.2e-47	159.7	0.0	1	1	2.5e-47	159.4	251	258	241	245	0.9602	0.9496	unreviewed	A0A927IGI4_9BACT	SAM-dependent chlorinase/fluorinase	IEN85_06770	Pelagicoccus enzymogenes	2773457	258
A0ABR8EHN7	tr|A0ABR8EHN7|A0ABR8EHN7_9CYAN	no	2.4e-47	159.5	0.0	1	1	3e-47	159.2	251	264	246	252	0.9801	0.9545	unreviewed	A0ABR8EHN7_9CYAN	SAM-dependent chlorinase/fluorinase	H6G72_17560	Planktothricoides raciborskii FACHB-1370	2949576	264
S7TTC2	tr|S7TTC2|S7TTC2_DESML	no	2.5e-47	159.4	0.0	1	1	3.8e-47	158.9	251	272	242	255	0.9641	0.9375	unreviewed	S7TTC2_DESML	SAM-dependent chlorinase/fluorinase	dsmv_2429	Desulfococcus multivorans DSM 2059	1121405	272
A0A101J4U0	tr|A0A101J4U0|A0A101J4U0_CHLLI	no	2.8e-47	159.3	0.0	1	1	3.4e-47	159.0	251	277	245	254	0.9761	0.9170	unreviewed	A0A101J4U0_CHLLI	SAM-dependent chlorinase/fluorinase	ASB62_10165	Chlorobium limicola	1092	277
F8C5P0	tr|F8C5P0|F8C5P0_THEGP	no	3.1e-47	159.1	6.8	1	1	3.9e-47	158.8	251	261	230	238	0.9163	0.9119	unreviewed	F8C5P0_THEGP	Adenosyl-chloride synthase	TOPB45_0928	Thermodesulfobacterium geofontis (strain OPF15)	795359	261
A0A8J7RGM5	tr|A0A8J7RGM5|A0A8J7RGM5_9BACT	no	3.2e-47	159.1	0.0	1	1	7.3e-47	157.9	251	271	243	254	0.9681	0.9373	unreviewed	A0A8J7RGM5_9BACT	SAM-dependent chlorinase/fluorinase	NATSA_02445	Natronogracilivirga saccharolytica	2812953	271
A0A160VSQ0	tr|A0A160VSQ0|A0A160VSQ0_9EURY	no	3.3e-47	159.1	0.1	1	1	3.9e-47	158.8	251	257	245	251	0.9761	0.9767	unreviewed	A0A160VSQ0_9EURY	Hydroxide adenosyltransferase	A3L04_10255	Thermococcus chitonophagus	54262	257
A0A8F5BY25	tr|A0A8F5BY25|A0A8F5BY25_9CREN	no	3.5e-47	159.0	2.7	1	1	5.2e-47	158.4	251	278	244	257	0.9721	0.9245	unreviewed	A0A8F5BY25_9CREN	Uncharacterized protein	J5U22_00005	Saccharolobus shibatae	2286	278
A0A916P5Q7	tr|A0A916P5Q7|A0A916P5Q7_DEHMC	no	4.2e-47	158.7	0.0	2	2	1.2e-28	98.3	251	282	185	191	0.7371	0.6773	unreviewed	A0A916P5Q7_DEHMC	S-adenosyl-l-methionine hydroxide adenosyltransferase	cbdbA1640	Dehalococcoides mccartyi (strain CBDB1)	255470	282
A0A5E6M897	tr|A0A5E6M897|A0A5E6M897_9BACT	no	4.2e-47	158.7	0.0	1	1	1.1e-46	157.4	251	276	189	191	0.7530	0.6920	unreviewed	A0A5E6M897_9BACT	Adenosyl-chloride synthase (EC 2.5.1.94)	salL MAMC_00789	Methylacidimicrobium cyclopophantes	1041766	276
A0A8J7LFN7	tr|A0A8J7LFN7|A0A8J7LFN7_9NOST	no	4.4e-47	158.7	0.0	1	1	5.6e-47	158.3	251	276	236	243	0.9402	0.8804	unreviewed	A0A8J7LFN7_9NOST	SAM-dependent chlorinase/fluorinase	I8752_03865	Dendronalium phyllosphericum CENA369	1725256	276
B6YX40	tr|B6YX40|B6YX40_THEON	no	4.4e-47	158.7	0.3	1	1	4.9e-47	158.5	251	257	246	252	0.9801	0.9805	unreviewed	B6YX40_THEON	Hydroxide adenosyltransferase	TON_1165	Thermococcus onnurineus (strain NA1)	523850	257
A0A1L9C523	tr|A0A1L9C523|A0A1L9C523_9EURY	no	4.5e-47	158.6	0.1	1	1	5.6e-47	158.3	251	255	239	243	0.9522	0.9529	unreviewed	A0A1L9C523_9EURY	S-adenosyl-l-methionine hydroxide adenosyltransferase	SAMN06264941_0911	Methanohalophilus portucalensis FDF-1	523843	255
S5ZJU0	tr|S5ZJU0|S5ZJU0_9CREN	no	4.7e-47	158.6	0.0	1	1	9.3e-47	157.6	251	262	184	182	0.7331	0.6947	unreviewed	S5ZJU0_9CREN	SAM-dependent chlorinase/fluorinase	N186_01930	Thermofilum adornatum	1365176	262
A0A0V8RVN7	tr|A0A0V8RVN7|A0A0V8RVN7_PYROC	no	4.7e-47	158.5	0.0	1	1	6.5e-47	158.1	251	274	243	256	0.9681	0.9343	unreviewed	A0A0V8RVN7_PYROC	SAM-dependent chlorinase/fluorinase	CF15_04940	Pyrodictium occultum	2309	274
A0ABX9MK36	tr|A0ABX9MK36|A0ABX9MK36_9DEIN	no	5.3e-47	158.4	0.0	1	1	6.1e-47	158.2	251	252	245	247	0.9761	0.9802	unreviewed	A0ABX9MK36_9DEIN	Adenosyl-chloride synthase (EC 2.5.1.94)	salL Mhypo_02580	Meiothermus hypogaeus	884155	252
A0ABY8PMU5	tr|A0ABY8PMU5|A0ABY8PMU5_9BACT	no	5.4e-47	158.3	3.7	1	1	9.8e-47	157.5	251	267	197	199	0.7849	0.7453	unreviewed	A0ABY8PMU5_9BACT	SAM-dependent chlorinase/fluorinase	JRV97_06150	Marinitoga aeolica	2809031	267
F0NBP5	tr|F0NBP5|F0NBP5_SACI5	no	5.6e-47	158.3	3.0	1	1	8.2e-47	157.8	251	278	244	257	0.9721	0.9245	unreviewed	F0NBP5_SACI5	Uncharacterized protein	SiRe_1743	Saccharolobus islandicus (strain REY15A) (Sulfolobus islandicus)	930945	278
K9Z4F1	tr|K9Z4F1|K9Z4F1_CYAAP	no	5.8e-47	158.3	0.1	1	1	6.8e-47	158.0	251	257	244	251	0.9721	0.9767	unreviewed	K9Z4F1_CYAAP	SAM-dependent chlorinase/fluorinase	Cyan10605_1507	Cyanobacterium aponinum (strain PCC 10605)	755178	257
A0A9X2FE14	tr|A0A9X2FE14|A0A9X2FE14_9BACT	no	6e-47	158.2	0.0	1	1	7e-47	158.0	251	263	190	190	0.7570	0.7224	unreviewed	A0A9X2FE14_9BACT	SAM-dependent chlorinase/fluorinase	NG895_25500	Aeoliella straminimaris	2954799	263
U5QMN0	tr|U5QMN0|U5QMN0_GLOK1	no	6.7e-47	158.1	0.0	1	1	7.8e-47	157.8	251	262	246	252	0.9801	0.9618	unreviewed	U5QMN0_GLOK1	S-adenosyl-l-methionine hydroxide adenosyltransferase	GKIL_2664	Gloeobacter kilaueensis (strain ATCC BAA-2537 / CCAP 1431/1 / ULC 316 / JS1)	1183438	262
A0A367QXL6	tr|A0A367QXL6|A0A367QXL6_9NOSO	no	7e-47	158.0	0.0	1	1	9.2e-47	157.6	251	270	242	249	0.9641	0.9222	unreviewed	A0A367QXL6_9NOSO	SAM-dependent chlorinase/fluorinase	A6770_23590	Nostoc minutum NIES-26	1844469	270
A0A9X2L2X8	tr|A0A9X2L2X8|A0A9X2L2X8_9BACT	no	7.3e-47	157.9	0.2	1	1	1.5e-46	156.9	251	263	245	254	0.9761	0.9658	unreviewed	A0A9X2L2X8_9BACT	SAM-dependent chlorinase/fluorinase	NM125_07095	Gracilimonas sediminicola	2952158	263
A0AA35STV5	tr|A0AA35STV5|A0AA35STV5_GEOBA	no	7.3e-47	157.9	0.0	1	1	1.2e-45	154.0	251	253	228	247	0.9084	0.9763	unreviewed	A0AA35STV5_GEOBA	Chlorinase MJ1651	GBAR_LOCUS19781	Geodia barretti (Barrett's horny sponge)	519541	253
A0A2Z2MHR2	tr|A0A2Z2MHR2|A0A2Z2MHR2_9EURY	no	7.5e-47	157.9	0.0	1	1	8.4e-47	157.7	251	259	246	252	0.9801	0.9730	unreviewed	A0A2Z2MHR2_9EURY	Hydroxide adenosyltransferase	A3L01_06485	Thermococcus barossii	54077	259
A0A401FX11	tr|A0A401FX11|A0A401FX11_9BACT	no	7.7e-47	157.8	0.0	1	1	1.7e-46	156.8	251	271	247	261	0.9841	0.9631	unreviewed	A0A401FX11_9BACT	SAM-dependent chlorinase/fluorinase	DENIS_2479	Desulfonema ishimotonii	45657	271
A0ABX8AWL7	tr|A0ABX8AWL7|A0ABX8AWL7_9BACT	no	7.8e-47	157.8	0.1	1	1	2.2e-46	156.3	251	272	186	187	0.7410	0.6875	unreviewed	A0ABX8AWL7_9BACT	SAM-dependent chlorinase/fluorinase	J8C05_06740	Chloracidobacterium sp. N	2821540	272
G2LG31	tr|G2LG31|G2LG31_CHLTF	no	7.8e-47	157.8	0.1	1	1	2.2e-46	156.3	251	272	186	187	0.7410	0.6875	unreviewed	G2LG31_CHLTF	Uncharacterized conserved protein	Cabther_A1393	Chloracidobacterium thermophilum (strain B)	981222	272
A0A842HFC1	tr|A0A842HFC1|A0A842HFC1_9BACT	no	8e-47	157.8	0.0	1	1	1e-46	157.4	251	260	245	249	0.9761	0.9577	unreviewed	A0A842HFC1_9BACT	SAM-dependent chlorinase/fluorinase	H5P28_08680	Ruficoccus amylovorans	1804625	260
A0A9P1P0S5	tr|A0A9P1P0S5|A0A9P1P0S5_9CYAN	no	9.1e-47	157.6	0.0	1	1	1.2e-46	157.2	251	265	241	252	0.9602	0.9509	unreviewed	A0A9P1P0S5_9CYAN	SAM-dependent chlorinase/fluorinase	ARTHRO_60367	Limnospira indica PCC 8005	376219	265
W9DRF1	tr|W9DRF1|W9DRF1_METTI	no	9.1e-47	157.6	0.1	1	1	1.4e-46	157.0	251	259	246	250	0.9801	0.9653	unreviewed	W9DRF1_METTI	S-adenosyl-l-methionine hydroxide adenosyltransferase	MettiDRAFT_1756	Methanolobus tindarius DSM 2278	1090322	259
A0A0M3V5W2	tr|A0A0M3V5W2|A0A0M3V5W2_9NOSO	no	9.8e-47	157.5	0.0	1	1	1.2e-46	157.3	251	267	238	245	0.9482	0.9176	unreviewed	A0A0M3V5W2_9NOSO	SAM-dependent chlorinase/fluorinase	ACX27_18430	Nostoc piscinale CENA21	224013	267
A0A518AP13	tr|A0A518AP13|A0A518AP13_9BACT	no	1e-46	157.4	0.0	1	1	1.4e-46	157.0	251	263	187	187	0.7450	0.7110	unreviewed	A0A518AP13_9BACT	Adenosyl-chloride synthase (EC 2.5.1.94)	salL Pan181_26400	Aeoliella mucimassa	2527972	263
A0A0S4KX89	tr|A0A0S4KX89|A0A0S4KX89_9BACT	no	1e-46	157.4	0.0	1	1	1.3e-46	157.1	251	291	185	185	0.7371	0.6357	unreviewed	A0A0S4KX89_9BACT	Adenosyl-chloride synthase	NITINOP_2876	Candidatus Nitrospira inopinata	1715989	291
K9WJJ3	tr|K9WJJ3|K9WJJ3_9CYAN	no	1.1e-46	157.4	0.0	1	1	4e-46	155.5	251	275	188	191	0.7490	0.6945	unreviewed	K9WJJ3_9CYAN	SAM-dependent chlorinase/fluorinase	Mic7113_4245	Allocoleopsis franciscana PCC 7113	1173027	275
